id,tender_id,title,issuing_authority,category,department,location,state,publish_date,deadline_date,source_url,description,tender_value,status
16534,,Northeast Frontier Railway - NFR Tender - WB Tender,Railway,General,Transport,Bihar,Bihar,2026-03-10 00:00:00.000000,,https://bidassist.com/west-bengal-tenders/northeast-frontier-railway/detail-432ab8af-0e90-4b70-8bcb-42a65b0fab62,"Northeast Frontier Railway - NFR Tender - WB TenderGoodsHealthcare and MedicineIrepsDarjeeling - West Bengal,Bongaigaon - Assam+3Alipurduar, West BengalKatihar, BiharWest Champaran, Bihar404006510220 
trnsflux, Per Kit Of (1x5 Ltr) ]
acms/store/njp, Nfr West Bengal 10.00 Numbers
amo/stores/kir, Nfr Bihar 5.00 Numbers
central Medical Store,nfr, Assam 10.00 Numbers
consignee
nfr
ms/ic/nbq, Nfr Assam 7.00 Numbers
sr.dmo/drh/apdj, Nfr West Bengal 10.00 NumbersClosing Soon10 Mar 2026Tender Amount₹ 5 LacThis is an estimated amount, exact amount may vary.FollowDownload",,open
16535,,Building Construction Department Tender - Bihar Tender,Building Construction,Works,PWD,Bihar,Bihar,2026-03-17 00:00:00.000000,,https://bidassist.com/bihar-tenders/building-construction-department/detail-98b16a5d-d200-45c9-922b-3169b2c5e8ac,"Building Construction Department Tender - Bihar TenderCivil And Construction...+1Building ConstructionWest Champaran, BiharConstruction Of Additional Mahila Bandi Barrack (132 Beded) In The Campus Of Mandal Kara Bettiah District West Champaran.Closing Date17 Mar 2026Tender Amount₹ 2.6 CrFollowDownload",,open
16536,,Panchayati Raj Department - PRD Tender - Bihar Tender,Bid Assist Bihar,General,General,Bihar,Bihar,2026-03-11 00:00:00.000000,,https://bidassist.com/bihar-tenders/panchayati-raj-department/detail-7a000f21-3158-4869-9d6b-ebaba903b926,"Panchayati Raj Department - PRD Tender - Bihar TenderSolid Waste Management...+1Environmental ServiceMadhepura, BiharSupplying Dustbin  (878) In 13 Block Undre Zila Parishad Madhepura 2025-26Closing Soon11 Mar 2026Tender Amount₹ 99 LacFollowDownload",,open
16537,,East Central Railway - ECR Tender - Bihar Tender,Railway,General,Transport,Bihar,Bihar,2026-03-12 00:00:00.000000,,https://bidassist.com/bihar-tenders/east-central-railway/detail-be7f229e-e5ff-4776-ae32-013a4800d31c,"East Central Railway - ECR Tender - Bihar TenderGoodsCivil And Construction...+2Civil Works Others, Road ConstructionIrepsDarbhanga, BiharAdditional Distance BlockClosing Date12 Mar 2026Tender Amount₹ 5 LacThis is an estimated amount, exact amount may vary.FollowDownload",,open
16539,,Ministry Of Micro Small And Medium Enterprises - MSME Tender - Bihar Tender,Bid Assist Bihar,General,Social Welfare,Bihar,Bihar,2026-03-28 00:00:00.000000,,https://bidassist.com/bihar-tenders/ministry-of-micro-small-and-medium-enterprises/detail-b1fd2e03-7449-4a00-8548-b22c2cd6bc2d,"Ministry Of Micro Small And Medium Enterprises - MSME Tender - Bihar TenderGoodsGEMPatna, BiharTitle1,title2,title3,title4,title5,title6,title7,title8,title9,title10,title11,title12,title13,titlClosing Date28 Mar 2026Tender Amount₹ 49.5 KFollowDownload",,open
16545,,Bhartiya Rail Bijlee Company Limited - BRBCL Tender - Bihar Tender,Bid Assist Bihar,General,General,Bihar,Bihar,2026-03-13 00:00:00.000000,,https://bidassist.com/bihar-tenders/bhartiya-rail-bijlee-company-limited/detail-25098071-70b4-4830-97df-c983ece5d2d9,"Bhartiya Rail Bijlee Company Limited - BRBCL Tender - Bihar TenderServicesMachinery and ToolsEprocureAurangabad Br, BiharBiennial Service Contract For Health Assessment Of Stacker Reclaimer Slew Bearings (2026-2028 Year)Closing Date13 Mar 2026Tender Amount₹ 11.6 LacFollowDownload",,open
16547,,National Thermal Power Corporation Limited - NTPC Tender - Bihar Tender,Power,General,Power,Bihar,Bihar,2026-03-10 00:00:00.000000,,https://bidassist.com/bihar-tenders/national-thermal-power-corporation-limited/detail-0bfa34ff-c0e6-4397-bf47-34fc6b3b638b,"National Thermal Power Corporation Limited - NTPC Tender - Bihar TenderGoodsEnergy, Oil and Gas...+1Machinery and ToolsEprocureMuzaffarpur, BiharBhel Bfp Cartridge Assembly For Stage 2 At Ntpc Kanti MuzaffarpurClosing Soon10 Mar 2026Tender AmountRefer DocumentsFollowDownload",,open
16548,,Hindustan Urvarak And Rasayan Limited - HURL Tender - Bihar Tender,Bid Assist Bihar,General,Social Welfare,Bihar,Bihar,2026-03-12 00:00:00.000000,,https://bidassist.com/bihar-tenders/hindustan-urvarak-and-rasayan-limited/detail-056be683-2cb4-4a72-9a6d-e3070ac4d95a,"Hindustan Urvarak And Rasayan Limited - HURL Tender - Bihar TenderServicesEnergy, Oil and GasEprocureBegusarai, BiharTechnical Support Study From Ms Saipem Regarding Continuous Mls Steam VentingClosing Date12 Mar 2026Tender AmountRefer DocumentsFollowDownload",,open
16556,,Central Public Works Department Tender - Bihar Tender,Bid Assist Bihar,General,PWD,Bihar,Bihar,2026-03-17 00:00:00.000000,,https://bidassist.com/bihar-tenders/central-public-works-department/detail-1a9a8b82-d256-4d43-9332-b21f474e435e,"Central Public Works Department Tender - Bihar TenderWorksCivil And Construction...+1Drainage WorkMuzaffarpur, BiharConstruction Of Drain For Newly Constructed Boys Hostel Under Drpcau Pusa.Closing Date17 Mar 2026Tender Amount₹ 5.2 CrFollowDownload",,open
16559,,Eastern Coalfields Limited - ECL Tender - Jharkhand Tender,Eastern Coal,General,Social Welfare,Bihar,Jharkhand,2026-03-13 00:00:00.000000,,https://bidassist.com/jharkhand-tenders/eastern-coalfields-limited/detail-badb4e75-478b-4129-a94c-196731630afb,"Eastern Coalfields Limited - ECL Tender - Jharkhand TenderWorksCivil And Construction...+1Road ConstructionEprocureGodda, JharkhandConstruction Of Pcc Branch Road From Plot No-484 To Plot No-494 At Lohandia Rehab Site Under Rajmahal Area.Closing Date13 Mar 2026Tender Amount₹ 14.8 LacFollowDownload",,open
16560,,Central Coalfields Limited - CCL Tender - Jharkhand Tender,Bid Assist Jharkhand,General,General,Bihar,Jharkhand,2026-03-13 00:00:00.000000,,https://bidassist.com/jharkhand-tenders/central-coalfields-limited/detail-75b223b2-b529-4480-b1aa-2417b16e82a9,"Central Coalfields Limited - CCL Tender - Jharkhand TenderWorksElectrical Cables And Wires...+1Electrical and ElectronicsEprocureBokaro, JharkhandSupplying, Making And Fixing Of Outdoor Cable Termination Officer Club, End Russian Complete With All Accessories Required For Transformers At Gayatri Colony, Colony, River Side, Civil Office And 9.0 Under Kathara Colliery.Closing Date13 Mar 2026Tender Amount₹ 3.6 LacFollowDownload",,open
16562,,Bharat Coking Coal Limited - BCCL Tender - Jharkhand Tender,Bid Assist Jharkhand,General,General,Bihar,Jharkhand,2026-03-14 00:00:00.000000,,https://bidassist.com/jharkhand-tenders/bharat-coking-coal-limited/detail-dbd77f6d-fd01-49eb-8bd7-1233d67ea9d3,"Bharat Coking Coal Limited - BCCL Tender - Jharkhand TenderWorksMachinery and ToolsEprocureDhanbad, JharkhandRepairing Of Damaged Dump Plate Of Hopper Of Feeder Breaker No-1 And Repairing And Fabrication Of Damaged Dust Suppression Shelter Of Receiving Hopper Of Feeder Breaker No.1 Of Phularitand, Amp Colliery.Closing Date14 Mar 2026Tender Amount₹ 2.4 LacThis is an estimated amount, exact amount may vary.FollowDownload",,open
16565,,Jharkhand Industrial Infrastructure Development Corporation - JIIDC Tender - Jharkhand Tender,Bid Assist Jharkhand,Works,Social Welfare,Bihar,Jharkhand,2026-03-23 00:00:00.000000,,https://bidassist.com/jharkhand-tenders/jharkhand-industrial-infrastructure-development-corporation/detail-d703e3dd-4f5e-4189-858e-eb8d12c85651,"Jharkhand Industrial Infrastructure Development Corporation - JIIDC Tender - Jharkhand TenderWorksCivil And Construction...+1Road ConstructionEprocureBokaro, JharkhandConstruction Of Pcc Road Over Exising Road At Phase 1 Balidh Industrial Area Bokaro JharkhandClosing Date23 Mar 2026Tender AmountRefer DocumentsFollowDownload",,open
16583,,South Eastern Railway - SER Tender - Jharkhand Tender,Railway,General,Transport,Bihar,Jharkhand,2026-03-22 00:00:00.000000,,https://bidassist.com/jharkhand-tenders/south-eastern-railway/detail-29c3efb8-bb75-44a9-86ee-247fce3a2e6c,"South Eastern Railway - SER Tender - Jharkhand TenderAuctionIrepsLohardaga, JharkhandInstallation And Operation Of Water Vending Machine I.e. Wvm-24 At Platform No. 2&3 Of Lohardaga Station {sketch Enclosed}Closing Date22 Mar 2026Tender AmountRefer DocumentsFollowDownload",,open
16584,,BOQ Based Supply Leads,UP,Goods,General,Bihar,Bihar,,,https://www.tender247.com/state/bihar+tenders,BOQ Based Supply Leads,,open
16588,,Tender Invited For Warehousing Service - Per MT - Monthly Basis - Hiring of Godown under PWS scheme ,Jharkhand Tenders,Services,Social Welfare,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/,"Tender Invited For Warehousing Service - Per MT - Monthly Basis - Hiring of Godown under PWS scheme at revenue district Dhanbad of Capacity 127870 MT; AS PER MTF; Godown with services (preservation, insurance, watch & ward); Hardware by the service p",,open
16589,,Support,UP,General,General,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/ContactUs.aspx,Support,,open
16595,,e-Auction for settlement of Simdega Dumki and Kiresera Sand Ghat for 5 years,Jharkhand Tenders,General,General,"Simdega, Jharkhand",Jharkhand,,,https://www.jharkhandtenders.in/Tenderdetailbrief.aspx?SrNo=96093389&tenders=Building+Material+tenders+Civil+Work+tenders,e-Auction for settlement of Simdega Dumki and Kiresera Sand Ghat for 5 yearsGet Liaison Service,,open
16596,,"Appointment of Carrying and Forwarding Agent CFA at Company Owned Godown at Kandra, Govindpur, Dhanbad, District Dhanbad, Jharkhand 828109 for Lubricants. IOC Owned Godown",IOC,General,Social Welfare,"Dhanbad, Jharkhand",Jharkhand,,,https://www.jharkhandtenders.in/Tenderdetailbrief.aspx?SrNo=95841234&tenders=C+And+F+Agent+tenders,"Appointment of Carrying and Forwarding Agent CFA at Company Owned Godown at Kandra, Govindpur, Dhanbad, District Dhanbad, Jharkhand 828109 for Lubricants. IOC Owned GodownGet Liaison Service",,open
16597,,Insurance of about 16810 numbers of cow and buffalo under MMPVY,Jharkhand Tenders,Services,General,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/Tenderdetailbrief.aspx?SrNo=94446721&tenders=Insurance+Service+tenders,Insurance of about 16810 numbers of cow and buffalo under MMPVYGet Liaison Service,,open
16598,,"Consultancy Services for preparation of Detailed Project Report (DPR) for 2L-PS of NH-143B, 143 and143A in the State of Jharkhand.Consultancy Services for preparation of Detailed Project Report (DPR) for 2L-PS of NH-143B, 143 and143A in the Stat",Jharkhand Tenders,Services,Social Welfare,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/Tenderdetailbrief.aspx?SrNo=93913215&tenders=Project+Management+Services+tenders+Consultancy+Service+tenders,"Consultancy Services for preparation of Detailed Project Report (DPR) for 2L-PS of NH-143B, 143 and143A in the State of Jharkhand.Consultancy Services for preparation of Detailed Project Report (DPR) for 2L-PS of NH-143B, 143 and143A in the StatGet Liaison Service",,open
16599,,For Appointment of Internal Auditor for a period of 3 years from F Y 2026-27 to 2028-29,Jharkhand Tenders,Services,General,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/Tenderdetailbrief.aspx?SrNo=96107386&tenders=Audit+tenders,For Appointment of Internal Auditor for a period of 3 years from F Y 2026-27 to 2028-29Get Liaison Service,,open
16601,,Login/RegisterMembers/Visitors Login to continueEmail Id:Password:Forgot Password?,Jharkhand Tenders,General,Social Welfare,Bihar,Jharkhand,,,https://www.jharkhandtenders.in/ForgotPassword.aspx,Login/RegisterMembers/Visitors Login to continueEmail Id:Password:Forgot Password?,,open
16616,,Widening and Strengthening work of Majhari Chowk (NH-27) to Kanauli Bazar (Nepal Border) via Dagmara,Bihar Tenders Site,General,Social Welfare,Bihar,Bihar,,,https://www.bihartenders.com/,Widening and Strengthening work of Majhari Chowk (NH-27) to Kanauli Bazar (Nepal Border) via Dagmara Road from km 0+00 to 25+353 (Total Length-25.353 km) for the year 2025-26.,,open
16620,,Widening & Strengthening of Old alignment of Purnea Katihar Road (NH-131A) from (i) Lelha Chowk to IOCL Petrol Pump (Ch. 62.11km to 63.01Km) & (ii) Dalan Chowk to Kushwaha Chowk (Ch. 47.35Km to 60.45Km) (Total Length = 14.00km),IOC,Works,PWD,"Purnea, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96122876&tenders=Road+tenders,Widening & Strengthening of Old alignment of Purnea Katihar Road (NH-131A) from (i) Lelha Chowk to IOCL Petrol Pump (Ch. 62.11km to 63.01Km) & (ii) Dalan Chowk to Kushwaha Chowk (Ch. 47.35Km to 60.45Km) (Total Length = 14.00km)Get Liaison Service,,open
16621,,Construction of PQC service road and Overlaying of wearing course from Km 410.700 to Km 447.000 (EW-04 and EW-12 package) (Purnea -Dalkhola Section) of NH-27 (old NH -31) in the State of Bihar,Bihar Tenders Site,Works,PWD,"Purnea, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=90867937&tenders=Road+tenders,Construction of PQC service road and Overlaying of wearing course from Km 410.700 to Km 447.000 (EW-04 and EW-12 package) (Purnea -Dalkhola Section) of NH-27 (old NH -31) in the State of BiharGet Liaison Service,,open
16622,,E-Auction for settlement of Sand Ghat NAWADA- SAKRI/BLOCK-03 (LAKHMOHNA/DANWARA SAND GHAT).,Bihar Tenders Site,General,General,"Nawada, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96123434&tenders=Building+Material+tenders+Mining+tenders,E-Auction for settlement of Sand Ghat NAWADA- SAKRI/BLOCK-03 (LAKHMOHNA/DANWARA SAND GHAT).Get Liaison Service,,open
16623,,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-02  (KARANPUR SAND GHAT).,Bihar Tenders Site,General,General,"Nawada, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96123397&tenders=Building+Material+tenders+Mining+tenders,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-02  (KARANPUR SAND GHAT).Get Liaison Service,,open
16624,,E-Auction for settlement of Sand Ghat NAWADA- DHADHAR- BLOCK-09  (PRATAPPUR SAND GHAT (38.8 HA) & MANI DAK STHAN GHAT (3.30 HA)).,Bihar Tenders Site,General,Social Welfare,"Nawada, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96123401&tenders=Building+Material+tenders+Mining+tenders,E-Auction for settlement of Sand Ghat NAWADA- DHADHAR- BLOCK-09  (PRATAPPUR SAND GHAT (38.8 HA) & MANI DAK STHAN GHAT (3.30 HA)).Get Liaison Service,,open
16625,,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-05  (JAMUAWAN PATWA SARAY SAND GHAT).,Bihar Tenders Site,General,General,"Nawada, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96123423&tenders=Building+Material+tenders+Mining+tenders,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-05  (JAMUAWAN PATWA SARAY SAND GHAT).Get Liaison Service,,open
16626,,"Construction of Auditorium (Balance Work) for Dr. Rajendra Prasad Central Agriculture University, Pusa at Samastipur, Bihar",Bihar Tenders Site,Works,Education,"Samastipur, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96142585&tenders=Auditorium+tenders+Civil+Work+tenders,"Construction of Auditorium (Balance Work) for Dr. Rajendra Prasad Central Agriculture University, Pusa at Samastipur, BiharGet Liaison Service",,open
16627,,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-06  (MILKY/CHILAUNGIYA SAND GHAT).,Bihar Tenders Site,General,Animal Husbandry,"Nawada, Bihar",Bihar,,,https://www.bihartenders.com/Tenderdetailbrief.aspx?SrNo=96123418&tenders=Building+Material+tenders+Mining+tenders,E-Auction for settlement of Sand Ghat NAWADA- SAKRI- BLOCK-06  (MILKY/CHILAUNGIYA SAND GHAT).Get Liaison Service,,open
16651,,"South Eastern RailwaySupply Of Elbow With Flange Of Sand Ejector Box For Sand Gear Of Electric Locos To Cee's Drg. No.- Loco/sg/013 (alt.-c). [ Warranty Period: 30 Months After The Date Of Delivery ]End Date12 Mar 20268 days leftLocationBokaro, JharkhandDepartmentRefer docAmountRefer docAmount:Refer docDocs",Railway,Goods,Transport,"Bokaro, Jharkhand",Jharkhand,2026-03-12 00:00:00.000000,,https://docs.google.com/forms/d/e/1FAIpQLSct-cbBVwN32oaE25winVYs7HYvnCjabqrc9VlZ0kAuz8rlLA/viewform,"South Eastern RailwaySupply Of Elbow With Flange Of Sand Ejector Box For Sand Gear Of Electric Locos To Cee's Drg. No.- Loco/sg/013 (alt.-c). [ Warranty Period: 30 Months After The Date Of Delivery ]End Date12 Mar 20268 days leftLocationBokaro, JharkhandDepartmentRefer docAmountRefer docAmount:Refer docDocsSouth Eastern RailwaySupply Of Nose Suspension Plate For Hitachi Tm As Per Kgp's Drg. No.- Kgp/el/387 (material -mn. Steel To Irs-r65-78). [ Warranty Period: 30 Months After The Date Of Delivery ]End Date12 Mar 20268 days leftLocationBokaro, JharkhandDepartmentRefer docAmountRefer docAmount:Refer docDocsSouth Eastern RailwayCorrigendum : Supply Of Valve Complete Mg 4/5a To M/s. Repl's Pt. No. - A-4150-30 Or Similar To Rdso's Drg. No.- Skel-4639 (alt. 1) Sheet - 1, 2 & 3. [ Warranty Period: 30 Months After The Date Of Delivery ]End Date19 Mar 202615 days leftLocationBokaro, JharkhandDepartmentRefer docAmountRefer docAmount:Refer docDocsGet Free Tender Alerts -Signup NowSouth Eastern R",,open
16659,,Procurement & Tender News,Tenders Info,Goods,General,Bihar,Unknown,,,https://www.tendersinfo.com/procurement_tendernews/11869,"Procurement & Tender NewsMyanmar : Pyidaungsu Hluttaw approves loans from EDCF, IDA, ADB on final day of 16th regular sessionSpain : Adif is putting out to tender a new contract to advance the development of the Master Plan for the Zaragoza-Teruel-Sagunto lineBulgaria : OMV Petrom and Eldrive to install 30 fast charging stations for electric cars in filling stations in Romania and BulgariaIndonesia : ADB Approves $300 Million Loan to Increase Indonesia's Geothermal Electricity GenerationCambodia : World Bank Approves $15 Million for Cambodiaâ€™s Pre-Service Education System for Health ProfessionalsView All",,open
19189,,"SearchSearchSocial Media LinksSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorFont Size Incr",Muzaffarpur NIC,General,Power,Bihar,Unknown,2026-02-20 00:00:00.000000,,https://muzaffarpur.nic.in/notice_category/district-tender/#SkipContent,"SearchSearchSocial Media LinksSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorFont Size IncreaseFont Size IncreaseEnglishहिन्दीबिहार सरकारGovernment of Biharमुजफ्फरपुरMuzaffarpurMenu ToggleMoreHomeAbout DistrictAt a GlanceHistoryDemographyMap of DistrictAdministrative SetupCollectorateForest DepartmentAnchal/TehsilSubdivision & BlockAnimal Husbandry DoctorPanchayat & WardsPoliceCourtWho’s whoDirectoryHelplineSTD & PIN CodesPublic UtilitiesCollege/UniversityElectricityHospitalNGOsDepartmentsHealthSadar Hospital’s Doctor’s Duty RosterAES/Heat WaveCovid-19 DashboardList of valid and inval",,open
19192,,District Tender,Muzaffarpur NIC,General,Social Welfare,Bihar,Unknown,,,https://muzaffarpur.nic.in/notice_category/district-tender/,District Tender,,open
19193,,General Notice/Information,Muzaffarpur NIC,General,General,Bihar,Unknown,,,https://muzaffarpur.nic.in/notice_category/general-notice-information/,General Notice/Information,,open
19196,,Outsourcing of Power Supply By Genset Services at Government Healthcare Facilities in Muzaffarpur,Power,Goods,Health,"Muzaffarpur, Bihar",Unknown,2026-02-11 00:00:00.000000,,https://cdn.s3waas.gov.in/s38c19f571e251e61cb8dd3612f26d5ecf/uploads/2026/02/17707948369267.pdf,District Health Society MuzaffarpurOutsourcing of Power Supply By Genset Services at Government Healthcare Facilities in Muzaffarpur11/02/202617/03/2026View (3 MB),,open
19201,,"SearchSearchSocial Media LinksSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorHide ImageHide",Gaya NIC,General,Power,Bihar,Unknown,2026-02-26 00:00:00.000000,,https://gaya.nic.in/notice_category/tenders/#SkipContent,"SearchSearchSocial Media LinksSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorHide ImageHide ImageEnglishहिन्दीबिहार  सरकारGovernment of BiharगयाGAYAMenu ToggleMoreHomeAbout DistrictHistoryWho’s WhoDM Successor ListMap of DistrictOrganisation ChartAdministrative SetupCollectorateTehsilSubdivision and BlocksVillage & PanchayatPoliceCourtsConstituenciesDemographyDirectoryDistrict Contact DirectoryDisaster ManagementHelplineSTD & PIN CodesPublic UtilitiesBanksColleges/UniversitiesElectricityHospitalsMunicipalitiesNGOsPostalSchoolsDepartmentsHealthRevenueEducationElectionTourismHow to Reac",,open
19202,,Transfer-Posting,Gaya NIC,General,Social Welfare,Bihar,Unknown,,,https://gaya.nic.in/notice_category/transfer-posting/,Transfer-Posting,,open
19206,,Merit List,Gaya NIC,General,Social Welfare,Bihar,Unknown,,,https://gaya.nic.in/notice_category/merit-list/,Merit List,,open
19213,,DM Court Order,Saran NIC,General,Police,Bihar,Unknown,,,https://saran.nic.in/notice_category/dm-court-order/,DM Court OrderEXECUTIVE COURT INFORMATION SYSTEM (ECIS),,open
19215,,Recruitment (Shikshak Niyojan),Saran NIC,General,General,Bihar,Unknown,,,https://saran.nic.in/notice_category/shikshak-niyojan/,Recruitment (Shikshak Niyojan),,open
19218,,"SearchSearchSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorHide ImageHide ImageEnglishहिन्द",Sitamarhi NIC,General,Power,Bihar,Unknown,2026-02-17 00:00:00.000000,,https://sitamarhi.nic.in/notice_category/tenders/#SkipContent,"SearchSearchSite MapAccessibility LinksAccessibility
                                            ToolsColor ContrastHigh ContrastHigh ContrastNormal ContrastNormal Contrast - SelectedHighlight LinksHighlight Links - SelectedInvertInvert page colorsSaturationApply saturationText SizeFont Size IncreaseFont Size IncreaseNormal FontNormal Font - SelectedFont Size DecreaseFont Size DecreaseText SpacingText SpacingLine HeightLine HeightOther ControlsBig CursorBig CursorHide ImageHide ImageEnglishहिन्दीबिहार सरकारGovt. of BIHARसीतामढ़ीSitamarhiMenu ToggleMoreHomeAbout DistrictHistoryWho’s WhoMap of DistrictOrganisation ChartCollectorateSubdivision & BlocksCircleVillage & PanchayatsPoliceCourtsConstituenciesDemographyDirectoryHelplineSTD & PIN CodesPublic UtilitiesBANKSCOLLEGE / UNIVERSITYELECTRICITYHOSPITALNAGARPALIKANGOsPOST OFFICEPOST OFFICESCHOOLDEPARTMENTSELECTIONASSEMBLY ELECTION 2025HealthEducationTOURISMHow to ReachPlaces of InterestAccommodation(Hotel/Resort)Tourist PlacesDOCUMENTSOFFI",,open
19219,,हिन्दी,Sitamarhi NIC,General,General,Bihar,Unknown,,,https://sitamarhi.nic.in/notice_category/tenders/,हिन्दी,,open
19253,,Disaster Management,Disaster Management,General,Social Welfare,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/disaster-management/,Disaster Management,,open
19254,,e-Gazettes Section,Begusarai NIC,General,General,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/egazattesection/,e-Gazettes Section,,open
19255,,DM’s Tour Programme,Begusarai NIC,General,General,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/dms-tour-programme/,DM’s Tour Programme,,open
19256,,DM’s Court Cases,Begusarai NIC,General,General,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/dms-court-cases/,DM’s Court Cases,,open
19257,,Transfer & Posting,Begusarai NIC,General,Social Welfare,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/transfer-posting/,Transfer & Posting,,open
19261,,Annual Action Plan,Begusarai NIC,General,General,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/annual-action-plan/,Annual Action Plan,,open
19262,,District Transport Office,Transport,General,Transport,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/dto/,District Transport Office,,open
19263,,Zila parishad,Begusarai NIC,General,General,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/notices/,Zila parishad,,open
19264,,Minority Welfare Department,Begusarai NIC,General,Social Welfare,Bihar,Unknown,,,https://begusarai.nic.in/notice_category/minority-welfare/,Minority Welfare Department,,open
19267,,न्यायालय समाहर्ता मुकदमा सूचि,Munger NIC,General,General,Bihar,Unknown,,,https://munger.nic.in/hi/notice_category/%e0%a4%a8%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%af%e0%a4%be%e0%a4%b2%e0%a4%af-%e0%a4%b8%e0%a4%ae%e0%a4%be%e0%a4%b9%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be-%e0%a4%ae%e0%a5%81%e0%a4%95%e0%a4%a6%e0%a4%ae%e0%a4%be/,न्यायालय समाहर्ता मुकदमा सूचि,,open
19268,,न्यायालय अपर समाहर्ता मुकदमा सूचि,Munger NIC,General,General,Bihar,Unknown,,,https://munger.nic.in/hi/notice_category/%e0%a4%a8%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%af%e0%a4%be%e0%a4%b2%e0%a4%af-%e0%a4%85%e0%a4%aa%e0%a4%b0-%e0%a4%b8%e0%a4%ae%e0%a4%be%e0%a4%b9%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be-%e0%a4%ae%e0%a5%81/,न्यायालय अपर समाहर्ता मुकदमा सूचि,,open
19269,,अपर समाहर्ता न्यायालय आदेश,Munger NIC,General,General,Bihar,Unknown,,,https://munger.nic.in/hi/notice_category/%e0%a4%85%e0%a4%aa%e0%a4%b0-%e0%a4%b8%e0%a4%ae%e0%a4%be%e0%a4%b9%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%be-%e0%a4%a8%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%af%e0%a4%be%e0%a4%b2%e0%a4%af-%e0%a4%86%e0%a4%a6/,अपर समाहर्ता न्यायालय आदेश,,open
